file	line	selector	callKey	property	value	code	initialClassification	classification	registryId	contract	owner	resolution
server/public/css/arcade.css	27	.arcade-tile		min-height	var(--row-min-h)	css-ownership	component-owner	component-owner	arcade-tile	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	28	.arcade-tile		padding	var(--space-3)	css-ownership	component-owner	component-owner	arcade-tile	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	83	.battleship-cell.battleship-ship-segment.is-ship-horizontal.has-next-segment::before		width	var(--space-1)	css-ownership	component-owner	component-owner	battleship-ship-display	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	89	.battleship-cell.battleship-ship-segment.is-ship-vertical.has-next-segment::before		height	var(--space-1)	css-ownership	component-owner	component-owner	battleship-ship-display	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	104	.battleship-cell.battleship-ship-segment::after		font-size	var(--font-size-sm)	css-ownership	component-owner	component-owner	battleship-ship-display	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	106	.battleship-cell.battleship-ship-segment::after		line-height	var(--line-height-tight)	css-ownership	component-owner	component-owner	battleship-ship-display	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	113	.battleship-cell.battleship-ship-segment:is(.is-hit, .is-sunk)::after		font-size	var(--font-size-2xs)	css-ownership	component-owner	component-owner	battleship-ship-display	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	121	.challenge-rush-circle		border-radius	var(--radius-full)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	121	.challenge-rush-circle		box-shadow	var(--shadow-glow-accent)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	121	.challenge-rush-circle		height	var(--space-8)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	121	.challenge-rush-circle		width	var(--space-8)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	122	.challenge-rush-big-button		border-radius	var(--radius)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	122	.challenge-rush-big-button		font-size	var(--font-size-xl)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	122	.challenge-rush-big-button		min-height	var(--challenge-rush-button-min-height)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	122	.challenge-rush-big-button		min-width	var(--challenge-rush-button-min-width)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	131	.challenge-rush-memory-cell		font-size	var(--font-size-lg)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	131	.challenge-rush-memory-cell		min-height	var(--tap-target-size)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	131	.challenge-rush-memory-cell		min-width	var(--tap-target-size)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	131	.challenge-rush-memory-cell		padding	var(--space-2)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	134	.challenge-rush-choice		min-height	var(--space-8)	css-ownership	component-owner	component-owner	challenge-targets	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	170	.arcade-lobby-create-actions .btn		width	100%	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	215	.arcade-lobby-create-row		min-height	var(--control-height)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	244	.arcade-mode-toggle		width	100%	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	245	.arcade-mode-toggle		min-width	0	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	246	.arcade-mode-toggle		min-height	var(--control-height)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	247	.arcade-mode-toggle		padding	0	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	249	.arcade-mode-toggle		border-radius	var(--radius-full)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
