file	line	property	value	kind	selectors	atRules	classification	reason
server/public/css/arcade.css	492	width	min(100%, 820px)	geometry	.arcade-game-shell .scribble-stage-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	506	width	26px	geometry	.scribble-swatch		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/arcade.css	507	height	26px	geometry	.scribble-swatch		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/arcade.css	510	box-shadow	inset 0 0 0 1px rgba(0, 0, 0, 0.25)	color	.scribble-swatch		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/arcade.css	519	width	30px	geometry	.scribble-size-btn		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/arcade.css	520	height	30px	geometry	.scribble-size-btn		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/arcade.css	542	max-height	160px	geometry	.scribble-chat-log		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	601	max-width	540px	geometry	.tetris-boards		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	608	background	radial-gradient(58% 60% at 50% 42%, rgba(91, 140, 255, 0.14), transparent 70%)	color	.tetris-boards::before		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	675	background	rgba(15, 20, 32, 0.9)	color	.tetris-canvas		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	746	background	rgba(6, 9, 18, 0.55)	color	.tetris-overlay		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	778	background	rgba(255, 255, 255, 0.55)	color	.tetris-canvas-wrap.tetris-flash::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	781	background	rgba(255, 209, 102, 0.65)	color	.tetris-canvas-wrap.tetris-flash-big::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	812	width	min(100%, 960px)	geometry	.arcade-game-shell		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	857	min-height	220px	geometry	.arcade-game-shell.is-expanded .quiz-stage-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	975	width	min(100%, 1080px)	geometry	.arcade-watch-shell		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1054	min-height	72px	geometry	.arcade-player-tile		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1062	border-color	rgba(91, 140, 255, 0.82)	color	.arcade-player-tile.is-winner		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1063	background	linear-gradient(135deg, rgba(91, 140, 255, 0.18), rgba(239, 93, 168, 0.14))	color	.arcade-player-tile.is-winner		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1064	box-shadow	0 0 0 1px rgba(145, 99, 245, 0.22), 0 0 28px rgba(145, 99, 245, 0.24)	color	.arcade-player-tile.is-winner		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/arcade.css	1077	width	min(100%, 680px)	geometry	.arcade-game-shell .quiz-stage-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1078	height	174px	geometry	.arcade-game-shell .quiz-stage-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1079	min-height	174px	geometry	.arcade-game-shell .quiz-stage-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1080	max-height	174px	geometry	.arcade-game-shell .quiz-stage-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1104	width	min(100%, 960px)	geometry	.blobby-court		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1143	width	min(100%, 960px)	geometry	.pong-arena		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/arcade.css	1149	box-shadow	var(--shadow), 0 0 36px rgba(145, 99, 245, 0.12)	color	.pong-arena		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/domains.css	449	height	6px	geometry	.skill-row-slider		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	455	width	20px	geometry	.skill-row-slider::-webkit-slider-thumb		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	456	height	20px	geometry	.skill-row-slider::-webkit-slider-thumb		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	460	box-shadow	0 1px 3px rgba(0, 0, 0, 0.5)	color	.skill-row-slider::-webkit-slider-thumb		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	464	width	16px	geometry	.skill-row-slider::-moz-range-thumb		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	465	height	16px	geometry	.skill-row-slider::-moz-range-thumb		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	469	box-shadow	0 1px 3px rgba(0, 0, 0, 0.5)	color	.skill-row-slider::-moz-range-thumb		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
